calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap
9,7688,1065,0.13852757544224767,1022.4349685989322,0.13299102088955933,0.12111297524093434,0.1471283608941557,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,-0.005536554552688339,0.005536554552688339,0.0005536698587511115
10,7688,1585,0.20616545265348596,1396.7550782694898,0.1816799009195486,0.14714302351079467,0.573679272447325,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,-0.02448555173393735,0.02448555173393735,0.0024486188731563043
1,7688,188,0.02445369406867846,180.06432770029195,0.023421478629070232,0.006662864341976683,0.02984720515400981,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,-0.0010322154396082278,0.0010322154396082278,0.00010322422929457134
2,7688,269,0.034989594172736734,264.1209561205165,0.034354963074989135,0.029849031877974656,0.03865238767425583,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,-0.0006346310977475983,0.0006346310977475983,6.346476078310486e-05
3,7688,331,0.04305411030176899,329.57975556415164,0.04286937507338081,0.03865269965340738,0.047164789985836904,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,-0.00018473522838818174,0.00018473522838818174,1.8474003432039612e-05
4,7687,379,0.04930401977364381,394.9338793640147,0.05137685434682122,0.047165746569676495,0.05570039581618344,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,0.002072834573177404,0.002072834573177404,0.00020726188719808923
5,7688,474,0.06165452653485952,463.77712226365503,0.06032480778663567,0.05570075121126142,0.06527387656871284,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,-0.0013297187482238515,0.0013297187482238515,0.0001329753341182779
6,7688,514,0.06685744016649324,545.9660811752643,0.07101535915391055,0.06527481561392294,0.07726111263134998,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,0.004157918987417311,0.004157918987417311,0.0004158027156698183
7,7687,629,0.08182646025757773,648.53844742478,0.08436821223166124,0.07726201384782991,0.09214708456400354,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,0.002541751974083517,0.002541751974083517,0.0002541487476882853
8,7688,776,0.10093652445369407,784.0773349375626,0.10198716635504196,0.09214708456400354,0.11326207300656531,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,0.0010506419013478902,0.0010506419013478902,0.0001050669234054291
9,7688,1054,0.13709677419354838,991.3949481803179,0.12895355725550442,0.11326207300656531,0.14902957058669153,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,-0.008143216938043957,0.008143216938043957,0.0008143428785827147
10,7688,1592,0.20707596253902186,1572.2597323857083,0.20450828985245945,0.14902976383077887,0.740387271673643,algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,-0.002567672686562411,0.002567672686562411,0.00025677394851962614
1,7688,188,0.02445369406867846,180.18490791597887,0.023437162840267804,0.006679960634720723,0.02987061229783837,algorithm::ridge_logit_l2,Ridge Logistic Regression,-0.001016531228410656,0.001016531228410656,0.00010165576737195457
